"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1996","1.2770 Australian Dollar"
"1997","1.3450 Australian Dollar"
"1998","1.5900 Australian Dollar"
"1999","1.5494 Australian Dollar"
"2000","1.7197 Australian Dollar"
"2001","1.9346 Australian Dollar"
"2002","1.8392 Australian Dollar"
"2003","1.5328 Australian Dollar"
"2004","1.3578 Australian Dollar"
"2005","1.3111 Australian Dollar"
"2006","1.3271 Australian Dollar"
"2007","1.1918 Australian Dollar"
"2008","1.1714 Australian Dollar"
"2009","1.2615 Australian Dollar"
"2010","1.0870 Australian Dollar"
"2011","1.0330 Australian Dollar"
"2011","0.9678 Australian Dollar"
"2012","0.9653 Australian Dollar"
"2013","1.0327 Australian Dollar"
"2014","1.1069 Australian Dollar"
"2015","1.3290 Australian Dollar"
"2016","1.3452 Australian Dollar"
"2017","1.3048 Australian Dollar"
"2018","1.3384 Australian Dollar"
"2019","1.4400 Australian Dollar"
"2020","1.4500 Australian Dollar"
"2021","1.3312 Australian Dollar"
"2022","1.4417 Australian Dollar"
"2023","1.5052 Australian Dollar"
"2024","1.5156 Australian Dollar"
"Austria, 1600 - 2025"
"1913","4.9555 Kronen"
"1914","5.0843 Kronen"
"1915","6.5047 Kronen"
"1916","7.9527 Kronen"
"1917","8.8977 Kronen"
"1921","994.0360 Kronen"
"1922","10309.3000 Kronen"
"1923","71428.6000 Kronen"
"1924","71428.6000 Kronen"
"1925","7.1177 Old Shillings"
"1926","7.1053 Old Shillings"
"1927","7.1041 Old Shillings"
"1928","7.1052 Old Shillings"
"1929","7.1136 Old Shillings"
"1930","7.0977 Old Shillings"
"1931","7.1313 Old Shillings"
"1932","7.1634 Old Shillings"
"1933","6.4734 Old Shillings"
"1934","5.3211 Old Shillings"
"1935","5.3104 Old Shillings"
"1936","5.3215 Old Shillings"
"1937","5.3277 Old Shillings"
"1938","5.2866 Old Shillings"
"1953","25.9202 Shillings"
"1954","25.9202 Shillings"
"1955","25.9202 Shillings"
"1956","25.9202 Shillings"
"1957","25.9477 Shillings"
"1958","25.9498 Shillings"
"1959","25.8940 Shillings"
"1960","26.0004 Shillings"
"1961","25.9869 Shillings"
"1962","25.8498 Shillings"
"1963","25.8465 Shillings"
"1964","25.8411 Shillings"
"1965","25.8371 Shillings"
"1966","25.8491 Shillings"
"1967","25.8478 Shillings"
"1968","25.8565 Shillings"
"1969","25.8705 Shillings"
"1970","25.8672 Shillings"
"1971","24.9944 Shillings"
"1972","23.1332 Shillings"
"1973","19.3615 Shillings"
"1974","18.6693 Shillings"
"1975","17.4013 Shillings"
"1976","17.9391 Shillings"
"1977","16.5306 Shillings"
"1978","14.5016 Shillings"
"1979","13.3870 Shillings"
"1980","12.9450 Shillings"
"1981","15.9480 Shillings"
"1982","17.0600 Shillings"
"1983","17.9680 Shillings"
"1984","20.0050 Shillings"
"1985","20.6760 Shillings"
"1986","15.2600 Shillings"
"1987","12.6490 Shillings"
"1988","12.3570 Shillings"
"1989","13.2360 Shillings"
"1990","11.3310 Shillings"
"1991","11.6860 Shillings"
"1992","10.9920 Shillings"
"1993","11.6390 Shillings"
"1994","11.4090 Shillings"
"1995","10.0760 Shillings"
"1996","10.5890 Shillings"
"1997","12.2060 Shillings"
"1998","12.3790 Shillings"
"1999","14.6590 Shillings"
"Belgium, 1600 - 2025"
"1913","5.2154 Francs"
"1914","5.1780 Francs"
"1919","7.8327 Francs"
"1920","13.5501 Francs"
"1921","13.4302 Francs"
"1922","13.0159 Francs"
"1923","19.1608 Francs"
"1924","21.5341 Francs"
"1925","21.0172 Francs"
"1926","30.6251 Francs"
"1927","7.1861 Belgas"
"1928","7.1797 Belgas"
"1929","7.1878 Belgas"
"1930","7.1672 Belgas"
"1931","7.1795 Belgas"
"1932","7.1872 Belgas"
"1933","5.5867 Belgas"
"1934","4.2943 Belgas"
"1935","5.4277 Belgas"
"1936","5.9113 Belgas"
"1937","5.9255 Belgas"
"1938","5.9192 Belgas"
"1939","5.9341 Belgas"
"1940","5.9241 Belgas"
"1945","43.7445 Francs"
"1946","43.8039 Francs"
"1947","43.8270 Francs"
"1948","43.8289 Francs"
"1949","45.4360 Francs"
"1950","50.2311 Francs"
"1951","50.3550 Francs"
"1952","50.3069 Francs"
"1953","49.9775 Francs"
"1954","50.0626 Francs"
"1955","50.2386 Francs"
"1956","49.9251 Francs"
"1957","50.2361 Francs"
"1958","49.8902 Francs"
"1959","49.9700 Francs"
"1960","49.8679 Francs"
"1961","49.8703 Francs"
"1962","49.7686 Francs"
"1963","49.8703 Francs"
"1964","49.7537 Francs"
"1965","49.6426 Francs"
"1966","49.8331 Francs"
"1967","49.6894 Francs"
"1968","49.9351 Francs"
"1969","50.1454 Francs"
"1970","49.6549 Francs"
"1971","48.5484 Francs"
"1972","44.0218 Francs"
"1973","38.8184 Francs"
"1974","38.8908 Francs"
"1975","36.6932 Francs"
"1976","38.5788 Francs"
"1977","35.8282 Francs"
"1978","31.4376 Francs"
"1979","29.3420 Francs"
"1980","29.2370 Francs"
"1981","37.1940 Francs"
"1982","45.7800 Francs"
"1983","51.1210 Francs"
"1984","57.7490 Francs"
"1985","59.3360 Francs"
"1986","44.6640 Francs"
"1987","37.3580 Francs"
"1988","36.7850 Francs"
"1989","39.4090 Francs"
"1990","33.4240 Francs"
"1991","34.1950 Francs"
"1992","32.1480 Francs"
"1993","34.5810 Francs"
"1994","33.4260 Francs"
