"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1988","299.1740 Peso"
"1989","382.5680 Peso"
"1990","502.2590 Peso"
"1991","633.0450 Peso"
"1992","759.2820 Peso"
"1993","863.0650 Peso"
"1994","844.8360 Peso"
"1995","912.8260 Peso"
"1996","1036.6900 Peso"
"1997","1140.9600 Peso"
"1998","1426.0400 Peso"
"1999","1756.2300 Peso"
"2000","2087.9000 Peso"
"2001","2299.6300 Peso"
"2002","2504.2400 Peso"
"2003","2877.6500 Peso"
"2004","2628.6100 Peso"
"2005","2320.8300 Peso"
"2006","2361.1400 Peso"
"2007","2078.2900 Peso"
"2008","1967.7100 Peso"
"2009","2158.3000 Peso"
"2011","1848.1400 Peso"
"2012","1796.9000 Peso"
"2013","1868.7900 Peso"
"2014","2001.7800 Peso"
"2015","2741.8800 Peso"
"2016","3054.1200 Peso"
"2017","2.0000 Peso"
"2018","2955.7000 Peso"
"2019","3280.8300 Peso"
"2020","3694.8500 Peso"
"2021","3743.5900 Peso"
"2022","4256.1900 Peso"
"2023","4325.9600 Peso"
"2024","4076.4900 Peso"
"Denmark, 1600 - 2025"
"1913","3.7377 Krones"
"1914","3.7558 Krones"
"1915","3.8765 Krones"
"1916","3.5315 Krones"
"1917","3.3294 Krones"
"1918","3.3065 Krones"
"1919","4.2946 Krones"
"1920","6.3391 Krones"
"1921","5.6192 Krones"
"1922","4.7740 Krones"
"1923","5.4454 Krones"
"1924","5.9799 Krones"
"1925","4.7324 Krones"
"1926","3.8131 Krones"
"1927","3.7418 Krones"
"1928","3.7393 Krones"
"1929","3.7481 Krones"
"1930","3.7362 Krones"
"1931","3.9907 Krones"
"1932","5.3102 Krones"
"1933","5.2436 Krones"
"1934","4.4445 Krones"
"1935","4.5697 Krones"
"1936","4.5067 Krones"
"1937","4.5312 Krones"
"1938","4.5820 Krones"
"1939","4.9149 Krones"
"1940","5.1791 Krones"
"1946","4.7902 Krones"
"1947","4.7930 Krones"
"1948","4.7945 Krones"
"1949","5.2310 Krones"
"1950","6.8995 Krones"
"1951","6.9008 Krones"
"1952","6.9005 Krones"
"1953","6.8995 Krones"
"1954","6.9042 Krones"
"1955","6.9050 Krones"
"1956","6.9050 Krones"
"1957","6.9050 Krones"
"1958","6.9050 Krones"
"1959","6.8927 Krones"
"1960","6.8941 Krones"
"1961","6.9051 Krones"
"1962","6.9013 Krones"
"1963","6.9042 Krones"
"1964","6.9156 Krones"
"1965","6.9156 Krones"
"1966","6.9085 Krones"
"1967","6.9808 Krones"
"1968","7.4839 Krones"
"1969","7.5194 Krones"
"1970","7.4996 Krones"
"1971","7.4030 Krones"
"1972","6.9522 Krones"
"1973","6.0230 Krones"
"1974","6.0820 Krones"
"1975","5.7349 Krones"
"1976","6.0438 Krones"
"1977","6.0031 Krones"
"1978","5.5078 Krones"
"1979","5.2622 Krones"
"1980","5.6345 Krones"
"1981","7.1350 Krones"
"1982","8.3443 Krones"
"1983","9.1483 Krones"
"1984","10.3540 Krones"
"1985","10.5980 Krones"
"1986","8.0955 Krones"
"1987","6.8478 Krones"
"1988","6.7412 Krones"
"1989","7.3210 Krones"
"1990","6.1899 Krones"
"1991","6.4038 Krones"
"1992","6.0372 Krones"
"1993","6.4863 Krones"
"1994","6.3561 Krones"
"1995","5.5999 Krones"
"1996","5.8003 Krones"
"1997","6.6092 Krones"
"1998","6.7030 Krones"
"1999","6.9900 Krones"
"2000","8.0953 Krones"
"2001","8.3323 Krones"
"2002","7.8862 Krones"
"2003","6.5774 Krones"
"2004","5.9891 Krones"
"2005","5.9953 Krones"
"2006","5.9422 Krones"
"2007","5.4413 Krones"
"2008","5.0885 Krones"
"2009","5.3574 Krones"
"2010","5.6266 Krones"
"2011","5.3540 Krones"
"2012","5.7922 Krones"
"2013","5.6170 Krones"
"2014","5.6151 Krones"
"2015","6.7263 Krone"
"2016","6.7317 Krone"
"2017","6.6029 Krone"
"2018","6.3146 Krone"
"2019","6.6700 Krone"
"2020","6.5400 Krone"
"2021","6.2871 Krone"
"2022","7.1448 Krone"
"2023","6.8892 Krone"
"2024","6.8953 Krone"
"Europe, 1600 - 2025"
"1999","0.9387 Euro"
"2000","1.0832 Euro"
"2001","1.1171 Euro"
"2002","1.0578 Euro"
"2003","0.8833 Euro"
"2004","0.8040 Euro"
"2005","0.8033 Euro"
"2006","0.7960 Euro"
"2007","0.7293 Euro"
"2008","0.6791 Euro"
"2009","0.7176 Euro"
"2010","0.7178 Euro"
"2011","0.7178 Euro"
"2012","0.7776 Euro"
"2013","0.7529 Euro"
"2014","0.7520 Euro"
"2015","0.9009 Euro"
"2016","0.9039 Euro"
"2017","0.8870 Euro"
"2018","0.8468 Euro"
"2019","0.8900 Euro"
"2020","0.8800 Euro"
"2021","0.8800 Euro"
"2022","0.9509 Euro"
"2023","0.9248 Euro"
"2024","0.9246 Euro"
"Finland, 1600 - 2025"
"1921","60.3865 Old Markkaa"
"1922","46.2235 Old Markkaa"
"1923","37.2703 Old Markkaa"
"1924","39.8788 Old Markkaa"
"1925","39.6542 Old Markkaa"
"1926","39.6684 Old Markkaa"
"1927","39.6873 Old Markkaa"
"1928","39.7251 Old Markkaa"
"1929","39.7456 Old Markkaa"
"1930","39.7314 Old Markkaa"
"1931","41.8848 Old Markkaa"
"1932","64.3211 Old Markkaa"
"1933","53.4531 Old Markkaa"
"1934","44.8893 Old Markkaa"
"1935","46.2385 Old Markkaa"
"1936","45.6558 Old Markkaa"
"1937","45.8484 Old Markkaa"
"1938","46.3671 Old Markkaa"
"1939","50.1303 Old Markkaa"
"1940","53.4474 Old Markkaa"
"1941","49.7488 Old Markkaa"
"1971","4.2096 (New) Markkaa"
"1972","4.1565 (New) Markkaa"
"1973","3.8121 (New) Markkaa"
"1974","3.7643 (New) Markkaa"
"1975","3.6650 (New) Markkaa"
"1976","3.8554 (New) Markkaa"
"1977","4.0140 (New) Markkaa"
"1978","4.1090 (New) Markkaa"
"1979","3.8886 (New) Markkaa"
"1980","3.7206 (New) Markkaa"
"1981","4.3128 (New) Markkaa"
"1982","4.8086 (New) Markkaa"
"1983","5.5636 (New) Markkaa"
"1984","6.0007 (New) Markkaa"
"1985","6.1971 (New) Markkaa"
"1986","5.0722 (New) Markkaa"
"1987","4.4037 (New) Markkaa"
"1988","4.1933 (New) Markkaa"
"1989","4.2963 (New) Markkaa"
"1990","3.8300 (New) Markkaa"
"1991","4.0481 (New) Markkaa"
"1992","4.4865 (New) Markkaa"
"1993","5.7251 (New) Markkaa"
"1994","5.2340 (New) Markkaa"
"1995","4.3763 (New) Markkaa"
"1996","4.5948 (New) Markkaa"
"1997","5.1956 (New) Markkaa"
"1998","5.3473 (New) Markkaa"
"1999","6.3340 (New) Markkaa"
"France, 1600 - 2025"
"1913","5.1840 Old Francs"
"1914","5.0950 Old Francs"
"1915","5.5690 Old Francs"
"1916","5.8870 Old Francs"
"1917","5.7640 Old Francs"
"1918","5.6160 Old Francs"
"1919","7.3090 Old Francs"
"1920","14.2050 Old Francs"
"1921","13.4130 Old Francs"
"1922","12.1930 Old Francs"
"1923","16.4440 Old Francs"
"1924","19.0960 Old Francs"
"1925","20.9770 Old Francs"
"1926","30.8380 Old Francs"
"1927","25.4840 Old Francs"
"1928","25.5040 Old Francs"
"1929","25.5360 Old Francs"
"1930","25.4780 Old Francs"
"1931","25.5100 Old Francs"
"1932","25.4610 Old Francs"
"1933","19.8760 Old Francs"
"1934","15.2230 Old Francs"
"1935","15.1490 Old Francs"
"1936","16.3560 Old Francs"
"1937","24.7160 Old Francs"
"1938","34.7450 Old Francs"
"1939","39.8360 Old Francs"
"1940","48.0150 Old Francs"
"1941","2.5020 Old Francs"
"1942","1.1310 Old Francs"
"1943","1.1110 Old Francs"
"1944","1.1130 Old Francs"
"1945","50.7330 Old Francs"
"1946","118.9200 Old Francs"
"1947","118.9490 Old Francs"
"1948","308.6420 Old Francs"
"1949","331.4550 Old Francs"
"1950","349.8950 Old Francs"
"1951","350.1400 Old Francs"
"1952","350.1400 Old Francs"
"1953","350.1400 Old Francs"
"1954","350.1400 Old Francs"
"1955","350.1400 Old Francs"
"1956","350.2630 Old Francs"
"1957","420.8750 Old Francs"
"1958","421.2300 Old Francs"
"1959","490.6770 Old Francs"
"1960","4.9050 Francs"
"1961","4.9060 Francs"
"1962","4.9010 Francs"
"1963","4.9010 Francs"
"1964","4.9010 Francs"
"1965","4.9020 Francs"
"1966","4.9140 Francs"
"1967","4.9210 Francs"
"1968","4.9530 Francs"
"1969","5.1810 Francs"
"1970","5.5290 Francs"
"1971","5.5100 Francs"
"1972","5.0440 Francs"
"1973","4.4370 Francs"
"1974","4.8070 Francs"
"1975","4.2820 Francs"
"1976","4.7750 Francs"
"1977","4.9150 Francs"
"1978","4.5010 Francs"
"1979","4.2570 Francs"
"1980","4.2250 Francs"
"1981","5.4400 Francs"
"1982","6.5790 Francs"
"1983","7.6200 Francs"
"1984","8.7360 Francs"
"1985","8.9800 Francs"
"1986","6.9260 Francs"
"1987","6.0120 Francs"
"1988","5.9600 Francs"
"1989","6.3800 Francs"
"1990","5.4470 Francs"
"1991","5.6470 Francs"
"1992","5.2940 Francs"
"1993","5.6670 Francs"
"1994","5.5460 Francs"
"1995","4.9860 Francs"
"1996","5.1160 Francs"
"1997","5.8390 Francs"
"1998","5.9000 Francs"
"1999","6.9880 Francs"
"Germany, 1600 - 2025"
"1913","4.2030 Mark"
"1914","4.2300 Mark"
"1915","4.8470 Mark"
"1916","5.4950 Mark"
"1917","5.7730 Mark"
"1918","7.8620 Mark"
"1919","32.8520 Mark"
"1920","57.1100 Mark"
"1921","83.0220 Mark"
"1922","430.4780 Mark"
"1923","50000.0000 Mark"
"1924","433000000000.0000 Mark"
"1925","4.2010 Reichsmark"
"1926","4.2020 Reichsmark"
"1927","4.2080 Reichsmark"
"1928","4.1910 Reichsmark"
"1929","4.2000 Reichsmark"
"1930","4.1920 Reichsmark"
"1931","4.2320 Reichsmark"
"1932","4.2110 Reichsmark"
"1933","3.2770 Reichsmark"
"1934","2.5400 Reichsmark"
"1935","2.4840 Reichsmark"
"1936","2.4820 Reichsmark"
"1937","2.4870 Reichsmark"
"1938","2.4900 Reichsmark"
"1939","2.4960 Reichsmark"
"1940","2.4990 Reichsmark"
"1941","19.7230 Reichsmark"
"1945","1.1050 Reichsmark"
"1946","225.5300 Reichsmark"
"1947","269.1790 Reichsmark"
"1948","574.7130 Deutsche mark"
"1949","588.5820 Deutsche mark"
"1950","4.1950 Deutsche mark"
"1951","4.1950 Deutsche mark"
"1952","4.1950 Deutsche mark"
"1953","4.1950 Deutsche mark"
"1954","4.1950 Deutsche mark"
"1955","4.2080 Deutsche mark"
"1956","4.2040 Deutsche mark"
"1957","4.2020 Deutsche mark"
"1958","4.1930 Deutsche mark"
"1959","4.1800 Deutsche mark"
"1960","4.1710 Deutsche mark"
"1961","4.0160 Deutsche mark"
"1962","3.9980 Deutsche mark"
"1963","3.9870 Deutsche mark"
"1964","3.9750 Deutsche mark"
"1965","3.9940 Deutsche mark"
"1966","3.9990 Deutsche mark"
"1967","3.9870 Deutsche mark"
"1968","3.9920 Deutsche mark"
"1969","3.9230 Deutsche mark"
"1970","3.6460 Deutsche mark"
"1971","3.4760 Deutsche mark"
"1972","3.1880 Deutsche mark"
"1973","2.6480 Deutsche mark"
"1974","2.5820 Deutsche mark"
"1975","2.4550 Deutsche mark"
"1976","2.5170 Deutsche mark"
"1977","2.3210 Deutsche mark"
"1978","2.0050 Deutsche mark"
"1979","1.8340 Deutsche mark"
"1980","1.8180 Deutsche mark"
"1981","2.2630 Deutsche mark"
"1982","2.4280 Deutsche mark"
"1983","2.5540 Deutsche mark"
"1984","2.8450 Deutsche mark"
"1985","2.9420 Deutsche mark"
"1986","2.1710 Deutsche mark"
"1987","1.7980 Deutsche mark"
"1988","1.7570 Deutsche mark"
"1989","1.8810 Deutsche mark"
"1990","1.6170 Deutsche mark"
"1991","1.6610 Deutsche mark"
"1992","1.5620 Deutsche mark"
"1993","1.6550 Deutsche mark"
"1994","1.6220 Deutsche mark"
"1995","1.4320 Deutsche mark"
"1996","1.5050 Deutsche mark"
"1997","1.7350 Deutsche mark"
"1998","1.7600 Deutsche mark"
"1999","2.0840 Deutsche mark"
"Greece, 1600 - 2025"
"1915","5.2394 Old Drachmas"
"1916","5.1204 Old Drachmas"
"1917","5.0547 Old Drachmas"
"1918","5.1495 Old Drachmas"
"1921","19.8961 Old Drachmas"
"1922","30.2489 Old Drachmas"
"1923","58.3397 Old Drachmas"
"1924","55.8659 Old Drachmas"
"1925","64.0451 Old Drachmas"
"1926","79.4976 Old Drachmas"
"1927","75.9128 Old Drachmas"
"1928","76.6636 Old Drachmas"
"1929","77.3156 Old Drachmas"
"1930","77.1665 Old Drachmas"
"1931","77.3635 Old Drachmas"
"1932","120.1920 Old Drachmas"
"1933","138.2550 Old Drachmas"
"1934","106.3600 Old Drachmas"
"1935","106.5420 Old Drachmas"
"1936","107.6540 Old Drachmas"
"1937","110.4360 Old Drachmas"
"1938","111.6320 Old Drachmas"
"1939","122.6540 Old Drachmas"
"1940","148.9200 Old Drachmas"
"1982","66.8720 Drachmas"
"1983","87.8950 Drachmas"
"1984","112.7300 Drachmas"
"1985","138.4000 Drachmas"
"1986","139.9300 Drachmas"
"1987","135.4700 Drachmas"
"1988","142.0000 Drachmas"
"1989","162.6000 Drachmas"
"1990","158.5900 Drachmas"
"1991","182.6300 Drachmas"
"1992","190.8100 Drachmas"
"1993","229.6400 Drachmas"
"1994","242.5000 Drachmas"
"1995","231.6800 Drachmas"
"1996","240.8200 Drachmas"
"1997","273.2800 Drachmas"
"1998","295.7000 Drachmas"
"1999","306.3000 Drachmas"
"Hong Kong, 1600 - 2025"
"1916","1.9530 Hong Kong Dollars"
"1917","1.5604 Hong Kong Dollars"
"1918","1.2733 Hong Kong Dollars"
"1921","1.9126 Hong Kong Dollars"
"1922","1.7949 Hong Kong Dollars"
"1923","1.8904 Hong Kong Dollars"
"1924","1.9059 Hong Kong Dollars"
"1925","1.7693 Hong Kong Dollars"
"1926","1.8752 Hong Kong Dollars"
"1927","2.0322 Hong Kong Dollars"
"1928","1.9971 Hong Kong Dollars"
"1929","2.1201 Hong Kong Dollars"
"1930","2.9539 Hong Kong Dollars"
"1931","4.1101 Hong Kong Dollars"
"1932","4.2625 Hong Kong Dollars"
"1933","3.3954 Hong Kong Dollars"
"1934","2.5829 Hong Kong Dollars"
"1935","2.0739 Hong Kong Dollars"
"1936","3.1535 Hong Kong Dollars"
"1937","3.2579 Hong Kong Dollars"
"1938","3.2833 Hong Kong Dollars"
"1939","3.6424 Hong Kong Dollars"
"1940","4.3557 Hong Kong Dollars"
"1941","4.0663 Hong Kong Dollars"
"1981","5.5678 Hong Kong Dollars"
"1982","6.0697 Hong Kong Dollars"
"1983","7.2569 Hong Kong Dollars"
"1984","7.8188 Hong Kong Dollars"
"1985","7.7911 Hong Kong Dollars"
"1986","7.8038 Hong Kong Dollars"
"1987","7.7986 Hong Kong Dollars"
"1988","7.8072 Hong Kong Dollars"
"1989","7.8008 Hong Kong Dollars"
"1990","7.7899 Hong Kong Dollars"
"1991","7.7712 Hong Kong Dollars"
"1992","7.7402 Hong Kong Dollars"
"1993","7.7357 Hong Kong Dollars"
"1994","7.7290 Hong Kong Dollars"
"1995","7.7357 Hong Kong Dollars"
"1996","7.7345 Hong Kong Dollars"
"1997","7.7431 Hong Kong Dollars"
"1998","7.7467 Hong Kong Dollars"
"1999","7.7594 Hong Kong Dollars"
"2000","7.7924 Hong Kong Dollars"
"2001","7.7997 Hong Kong Dollars"
"2002","7.7996 Hong Kong Dollars"
"2003","7.7875 Hong Kong Dollars"
"2004","7.7891 Hong Kong Dollars"
"2005","7.7775 Hong Kong Dollars"
"2006","7.7681 Hong Kong Dollars"
"2007","7.8016 Hong Kong Dollars"
"2008","7.7862 Hong Kong Dollars"
"2009","7.7514 Hong Kong Dollars"
"2010","7.7687 Hong Kong Dollars"
"2011","7.7840 Hong Kong Dollars"
"2012","7.7569 Hong Kong Dollars"
"2013","7.7565 Hong Kong Dollars"
"2014","7.7545 Hong Kong Dollars"
"2015","7.7524 Hong Kong Dollars"
"2016","7.7623 Hong Kong Dollars"
"2017","7.7933 Hong Kong Dollars"
"2018","7.8385 Hong Kong Dollars"
"2019","7.8400 Hong Kong Dollars"
"2020","7.7600 Hong Kong Dollars"
"2021","7.7732 Hong Kong Dollars"
"2022","7.8314 Hong Kong Dollars"
"2023","7.8296 Hong Kong Dollars"
"2024","7.8030 Hong Kong Dollars"
"India, 1600 - 2025"
"1916","3.04 Rupee"
"1917","2.92 Rupee"
"1918","2.72 Rupee"
"1919","2.48 Rupee"
"1920","2.57 Rupee"
"1921","3.81 Rupee"
"1922","3.48 Rupee"
"1923","3.21 Rupee"
"1924","3.15 Rupee"
"1925","2.76 Rupee"
"1926","2.75 Rupee"
"1927","2.75 Rupee"
"1928","2.74 Rupee"
"1929","2.76 Rupee"
"1930","2.77 Rupee"
"1931","2.97 Rupee"
"1932","3.80 Rupee"
"1933","3.14 Rupee"
"1934","2.64 Rupee"
"1935","2.71 Rupee"
"1936","2.67 Rupee"
"1937","2.68 Rupee"
"1938","2.73 Rupee"
"1939","3.00 Rupee"
"1940","3.32 Rupee"
"1941","3.32 Rupee"
"1942","3.32 Rupee"
"1943","3.32 Rupee"
"1944","3.32 Rupee"
"1945","3.32 Rupee"
"1946","3.32 Rupee"
"1947","3.32 Rupee"
"1948","3.31 Rupee"
"1949","3.61 Rupee"
"1950","4.79 Rupee"
"1951","4.79 Rupee"
"1952","4.78 Rupee"
"1953","4.75 Rupee"
"1954","4.76 Rupee"
"1955","4.79 Rupee"
"1956","4.78 Rupee"
"1957","4.78 Rupee"
"1958","4.75 Rupee"
"1959","4.75 Rupee"
"1960","4.77 Rupee"
"1961","4.77 Rupee"
"1962","4.76 Rupee"
"1963","4.77 Rupee"
"1964","4.78 Rupee"
"1965","4.78 Rupee"
"1966","6.03 Rupee"
"1967","7.54 Rupee"
"1968","7.54 Rupee"
"1969","7.56 Rupee"
"1970","7.56 Rupee"
"1971","7.50 Rupee"
"1972","7.55 Rupee"
"1973","8.28 Rupee"
"1974","8.03 Rupee"
"1975","8.39 Rupee"
"1976","8.97 Rupee"
"1977","8.77 Rupee"
"1978","8.19 Rupee"
"1979","8.16 Rupee"
"1980","7.89 Rupee"
"1981","8.68 Rupee"
"1982","9.48 Rupee"
"1983","10.10 Rupee"
"1984","11.35 Rupee"
"1985","12.33 Rupee"
"1986","12.60 Rupee"
"1987","12.94 Rupee"
"1988","13.90 Rupee"
"1989","16.21 Rupee"
"1990","17.49 Rupee"
"1991","22.71 Rupee"
"1992","28.16 Rupee"
"1993","31.29 Rupee"
"1994","31.39 Rupee"
"1995","32.42 Rupee"
"1996","35.51 Rupee"
"1997","36.37 Rupee"
"1998","41.36 Rupee"
"1999","43.13 Rupee"
"2000","45.00 Rupee"
"2001","47.22 Rupee"
"2002","48.63 Rupee"
"2003","46.59 Rupee"
"2004","45.26 Rupee"
"2005","44.00 Rupee"
"2006","45.19 Rupee"
"2007","41.18 Rupee"
"2008","43.39 Rupee"
"2009","48.33 Rupee"
"2010","45.65 Rupee"
"2011","45.58 Rupee"
"2011","46.58 Rupee"
"2012","53.37 Rupee"
"2013","58.51 Rupee"
"2014","61.00 Rupee"
"2015","64.11 Rupee"
"2016","67.20 Rupee"
"2017","65.12 Rupee"
"2018","68.40 Rupee"
"2019","70.42 Rupee"
"2020","74.10 Rupee"
"2021","73.92 Rupee"
"2022","78.60 Rupee"
"2023","82.60 Rupee"
"2024","83.68 Rupee"
"Indonesia, 1600 - 2025"
"1967","149.6 Rupiah"
"1968","296.3 Rupiah"
"1969","326.0 Rupiah"
"1970","362.8 Rupiah"
"1971","391.9 Rupiah"
"1972","415.0 Rupiah"
"1973","415.0 Rupiah"
"1974","415.0 Rupiah"
"1975","415.0 Rupiah"
"1976","415.0 Rupiah"
"1977","415.0 Rupiah"
"1978","442.0 Rupiah"
"1979","623.1 Rupiah"
"1980","627.0 Rupiah"
"1981","631.8 Rupiah"
"1982","661.4 Rupiah"
"1983","909.3 Rupiah"
"1984","1025.9 Rupiah"
"1985","1110.6 Rupiah"
"1986","1282.6 Rupiah"
"1987","1643.8 Rupiah"
"1988","1685.7 Rupiah"
"1989","1770.1 Rupiah"
"1990","1842.8 Rupiah"
"1991","1950.3 Rupiah"
"1992","2029.9 Rupiah"
"1993","2087.1 Rupiah"
"1994","2160.8 Rupiah"
"1995","2248.6 Rupiah"
"1996","2342.3 Rupiah"
"1997","2909.4 Rupiah"
"1998","10013.6 Rupiah"
"1999","7855.2 Rupiah"
"2000","8421.8 Rupiah"
"2001","10260.9 Rupiah"
"2002","9311.2 Rupiah"
"2003","8577.1 Rupiah"
"2004","8938.9 Rupiah"
"2005","9704.7 Rupiah"
"2006","9159.3 Rupiah"
"2007","9143.4 Rupiah"
"2007","9141.0 Rupiah"
"2008","9699.0 Rupiah"
"2009","10389.9 Rupiah "
"2010","9090.4 Rupiah"
"2011","8770.4 Rupiah"
"2012","9386.6 Rupiah "
"2013","10461.2 Rupiah"
"2014","11865.2 Rupiah"
"2015","13389.4 Rupiah"
"2016","13308.3 Rupiah"
"2017","13380.9 Rupiah"
"2018","14236.9 Rupiah"
"2019","14147.7 Rupiah"
"2020","14582.2 Rupiah"
"2021","14308.1 Rupiah"
"2022","14849.9 Rupiah"
"2023","15236.9 Rupiah"
"2024","15852.1 Rupiah"
"Ireland, 1600 - 2025"
"1951","0.3567 Irish Pounds"
"1952","0.3576 Irish Pounds"
"1953","0.3555 Irish Pounds"
"1954","0.3560 Irish Pounds"
"1955","0.3583 Irish Pounds"
"1956","0.3577 Irish Pounds"
"1957","0.3580 Irish Pounds"
"1958","0.3559 Irish Pounds"
"1959","0.3560 Irish Pounds"
"1960","0.3562 Irish Pounds"
"1961","0.3569 Irish Pounds"
"1962","0.3562 Irish Pounds"
"1963","0.3571 Irish Pounds"
"1964","0.3582 Irish Pounds"
"1965","0.3577 Irish Pounds"
"1966","0.3580 Irish Pounds"
"1967","0.3636 Irish Pounds"
"1968","0.4178 Irish Pounds"
"1969","0.4184 Irish Pounds"
"1970","0.4174 Irish Pounds"
"1971","0.4091 Irish Pounds"
"1972","0.3999 Irish Pounds"
"1973","0.4080 Irish Pounds"
"1974","0.4273 Irish Pounds"
"1975","0.4501 Irish Pounds"
"1976","0.5541 Irish Pounds"
"1977","0.5731 Irish Pounds"
"1978","0.5213 Irish Pounds"
"1979","0.4886 Irish Pounds"
"1980","0.4860 Irish Pounds"
"1981","0.6199 Irish Pounds"
"1982","0.7040 Irish Pounds"
"1983","0.8012 Irish Pounds"
"1984","0.9205 Irish Pounds"
"1985","0.9379 Irish Pounds"
"1986","0.7455 Irish Pounds"
"1987","0.6721 Irish Pounds"
"1988","0.6558 Irish Pounds"
"1989","0.7052 Irish Pounds"
"1990","0.6033 Irish Pounds"
"1991","0.6196 Irish Pounds"
"1992","0.5868 Irish Pounds"
"1993","0.6827 Irish Pounds"
"1994","0.6680 Irish Pounds"
"1995","0.6236 Irish Pounds"
"1996","0.6252 Irish Pounds"
"1997","0.6595 Irish Pounds"
"1998","0.7019 Irish Pounds"
"1999","1.1919 Irish Pounds"
"Israel, 1600 - 2025"
"1948","0.2497 Israeli Pounds"
"1949","0.3596 Israeli Pounds"
"1950","0.3596 Israeli Pounds"
"1951","0.3596 Israeli Pounds"
"1952","0.3596 Israeli Pounds"
"1953","0.9989 Israeli Pounds"
"1954","1.8000 Israeli Pounds"
"1955","1.8000 Israeli Pounds"
"1956","1.8000 Israeli Pounds"
"1957","1.8000 Israeli Pounds"
"1958","1.8000 Israeli Pounds"
"1959","1.8000 Israeli Pounds"
"1960","1.8000 Israeli Pounds"
"1961","1.8000 Israeli Pounds"
"1962","2.9000 Israeli Pounds"
"1963","3.0000 Israeli Pounds"
"1964","3.0000 Israeli Pounds"
"1965","3.0000 Israeli Pounds"
"1966","3.0000 Israeli Pounds"
"1967","3.0833 Israeli Pounds"
"1968","3.5000 Israeli Pounds"
"1969","3.5000 Israeli Pounds"
"1970","3.5000 Israeli Pounds"
"1971","4.2000 Israeli Pounds"
"1972","4.1798 Israeli Pounds"
"1973","4.1947 Israeli Pounds"
"1974","4.4515 Israeli Pounds"
"1975","6.3361 Israeli Pounds"
"1976","7.9256 Israeli Pounds"
"1977","10.4455 Israeli Pounds"
"1978","17.4354 Israeli Pounds"
"1979","25.4064 Israeli Pounds"
"1980","5.1243 Old Sheqalim"
"1981","11.4306 Old Sheqalim"
"1982","24.2670 Old Sheqalim"
"1983","56.2145 Old Sheqalim"
"1984","293.2100 Old Sheqalim"
"1985","1178.8500 Old Sheqalim"
"1986","1.4878 New Shequalim"
"1987","1.5946 New Shequalim"
"1988","1.5989 New Shequalim"
"1989","1.9164 New Shequalim"
"1990","2.0162 New Shequalim"
"1991","2.2791 New Shequalim"
"1992","2.4591 New Shequalim"
"1993","2.8301 New Shequalim"
"1994","3.0111 New Shequalim"
"1995","3.0113 New Shequalim"
"1996","3.1917 New Shequalim"
"1997","3.4494 New Shequalim"
"1998","3.8001 New Shequalim"
"1999","4.1397 New Shequalim"
"2000","4.0773 New Shequalim"
"2001","4.2057 New Shequalim"
"2002","4.7378 New Shequalim"
"2003","4.5541 New Shequalim"
"2004","4.4820 New Shequalim"
"2005","4.4877 New Shequalim"
"2006","4.4558 New Shequalim"
"2007","4.1080 New Shequalim"
"2008","3.5880 New Shequalim"
"2009","3.9323 New Shequalim"
"2010","3.7390 New Shequalim"
"2011","3.5780 New Shequalim"
"2012","3.8560 New Shequalim"
"2013","3.6110 New Shequalim"
"2014","3.5780 New Shequalim"
"2015","3.8900 New Shequalim"
"2016","3.8406 New Shequalim"
"2017","3.5996 New Shequalim"
"2018","3.5906 New Shequalim"
"2019","3.5600 New Shequalim"
"2020","3.4400 New Shequalim"
"2021","3.2302 New Shequalim"
"2022","3.3598 New Shequalim"
"2023","3.6858 New Shequalim"
"2024","3.7004 New Shequalim"
"Italy, 1600 - 2025"
"1913","5.2640 Lire"
"1914","5.1950 Lire"
"1915","6.0500 Lire"
"1916","6.5500 Lire"
"1917","7.5090 Lire"
"1918","7.8620 Lire"
"1919","8.7960 Lire"
"1920","20.1210 Lire"
"1921","23.2900 Lire"
"1922","21.0270 Lire"
"1923","21.7320 Lire"
"1924","22.9460 Lire"
"1925","25.1410 Lire"
"1926","25.7110 Lire"
"1927","19.3950 Lire"
"1928","19.0220 Lire"
"1929","19.1080 Lire"
"1930","19.0930 Lire"
"1931","19.2070 Lire"
"1932","19.5110 Lire"
"1933","14.9040 Lire"
"1934","11.6800 Lire"
"1935","12.1250 Lire"
"1936","13.7140 Lire"
"1937","19.0090 Lire"
"1938","19.0100 Lire"
"1939","19.2460 Lire"
"1940","19.8390 Lire"
"1941","19.7227 Lire"
"1946","225.5300 Lire"
"1947","269.1790 Lire"
"1948","574.7130 Lire"
"1949","588.5820 Lire"
"1950","624.6100 Lire"
"1951","625.0000 Lire"
"1952","625.0000 Lire"
"1953","625.0000 Lire"
"1954","625.0000 Lire"
"1955","625.0000 Lire"
"1956","625.0000 Lire"
"1957","625.0000 Lire"
"1958","624.6100 Lire"
"1959","621.1180 Lire"
"1960","621.1180 Lire"
"1961","621.1180 Lire"
"1962","620.8480 Lire"
"1963","621.6200 Lire"
"1964","624.4540 Lire"
"1965","624.8440 Lire"
"1966","624.4540 Lire"
"1967","624.1420 Lire"
"1968","623.3640 Lire"
"1969","627.3530 Lire"
"1970","627.1560 Lire"
