country,year,currency
"Canada, 1600 - 2025",1937,1.0000 Canadian Dollar
"Canada, 1600 - 2025",1938,1.0060 Canadian Dollar
"Canada, 1600 - 2025",1939,1.0410 Canadian Dollar
"Canada, 1600 - 2025",1940,1.1750 Canadian Dollar
"Canada, 1600 - 2025",1941,1.1449 Canadian Dollar
"Canada, 1600 - 2025",1946,1.0720 Canadian Dollar
"Canada, 1600 - 2025",1947,1.0870 Canadian Dollar
"Canada, 1600 - 2025",1948,1.0906 Canadian Dollar
"Canada, 1600 - 2025",1949,1.0767 Canadian Dollar
"Canada, 1600 - 2025",1950,1.0930 Canadian Dollar
"Canada, 1600 - 2025",1951,1.0530 Canadian Dollar
"Canada, 1600 - 2025",1952,0.9790 Canadian Dollar
"Canada, 1600 - 2025",1953,0.9840 Canadian Dollar
"Canada, 1600 - 2025",1954,0.9730 Canadian Dollar
"Canada, 1600 - 2025",1955,0.9860 Canadian Dollar
"Canada, 1600 - 2025",1956,0.9840 Canadian Dollar
"Canada, 1600 - 2025",1957,0.9590 Canadian Dollar
"Canada, 1600 - 2025",1958,0.9710 Canadian Dollar
"Canada, 1600 - 2025",1959,0.9590 Canadian Dollar
"Canada, 1600 - 2025",1960,0.9700 Canadian Dollar
"Canada, 1600 - 2025",1961,1.0130 Canadian Dollar
"Canada, 1600 - 2025",1962,1.0690 Canadian Dollar
"Canada, 1600 - 2025",1963,1.0790 Canadian Dollar
"Canada, 1600 - 2025",1964,1.0790 Canadian Dollar
"Canada, 1600 - 2025",1965,1.0780 Canadian Dollar
"Canada, 1600 - 2025",1966,1.0770 Canadian Dollar
"Canada, 1600 - 2025",1967,1.0790 Canadian Dollar
"Canada, 1600 - 2025",1968,1.0780 Canadian Dollar
"Canada, 1600 - 2025",1969,1.0770 Canadian Dollar
"Canada, 1600 - 2025",1970,1.0440 Canadian Dollar
"Canada, 1600 - 2025",1971,1.0100 Canadian Dollar
"Canada, 1600 - 2025",1972,0.9910 Canadian Dollar
"Canada, 1600 - 2025",1973,1.0000 Canadian Dollar
"Canada, 1600 - 2025",1974,0.9780 Canadian Dollar
"Canada, 1600 - 2025",1975,1.0170 Canadian Dollar
"Canada, 1600 - 2025",1976,0.9860 Canadian Dollar
"Canada, 1600 - 2025",1977,1.0630 Canadian Dollar
"Canada, 1600 - 2025",1978,1.1400 Canadian Dollar
"Canada, 1600 - 2025",1979,1.1600 Canadian Dollar
"Canada, 1600 - 2025",1980,1.1690 Canadian Dollar
"Canada, 1600 - 2025",1981,1.1990 Canadian Dollar
"Canada, 1600 - 2025",1982,1.2340 Canadian Dollar
"Canada, 1600 - 2025",1983,1.2330 Canadian Dollar
"Canada, 1600 - 2025",1984,1.2950 Canadian Dollar
"Canada, 1600 - 2025",1985,1.3660 Canadian Dollar
"Canada, 1600 - 2025",1986,1.3900 Canadian Dollar
"Canada, 1600 - 2025",1987,1.3260 Canadian Dollar
"Canada, 1600 - 2025",1988,1.2310 Canadian Dollar
"Canada, 1600 - 2025",1989,1.1840 Canadian Dollar
"Canada, 1600 - 2025",1990,1.1670 Canadian Dollar
"Canada, 1600 - 2025",1991,1.1460 Canadian Dollar
"Canada, 1600 - 2025",1992,1.2090 Canadian Dollar
"Canada, 1600 - 2025",1993,1.2900 Canadian Dollar
"Canada, 1600 - 2025",1994,1.3660 Canadian Dollar
"Canada, 1600 - 2025",1995,1.3730 Canadian Dollar
"Canada, 1600 - 2025",1996,1.3640 Canadian Dollar
"Canada, 1600 - 2025",1997,1.3850 Canadian Dollar
"Canada, 1600 - 2025",1998,1.4840 Canadian Dollar
"Canada, 1600 - 2025",1999,1.4858 Canadian Dollar
"Canada, 1600 - 2025",2000,1.4855 Canadian Dollar
"Canada, 1600 - 2025",2001,1.5487 Canadian Dollar
"Canada, 1600 - 2025",2002,1.5704 Canadian Dollar
"Canada, 1600 - 2025",2003,1.4008 Canadian Dollar
"Canada, 1600 - 2025",2004,1.3017 Canadian Dollar
"Canada, 1600 - 2025",2005,1.2115 Canadian Dollar
"Canada, 1600 - 2025",2006,1.1340 Canadian Dollar
"Canada, 1600 - 2025",2007,1.0734 Canadian Dollar
"Canada, 1600 - 2025",2008,1.0660 Canadian Dollar
"Canada, 1600 - 2025",2009,1.1412 Canadian Dollar
"Canada, 1600 - 2025",2010,1.0298 Canadian Dollar
"Canada, 1600 - 2025",2011,0.9890 Canadian Dollar
"Canada, 1600 - 2025",2012,0.9995 Canadian Dollar
"Canada, 1600 - 2025",2013,1.0300 Canadian Dollar
"Canada, 1600 - 2025",2014,1.1043 Canadian Dollar
"Canada, 1600 - 2025",2015,1.2791 Canadian Dollar
"Canada, 1600 - 2025",2016,1.3254 Canadian Dollar
"Canada, 1600 - 2025",2017,1.2977 Canadian Dollar
"Canada, 1600 - 2025",2018,1.2958 Canadian Dollar
"Canada, 1600 - 2025",2019,1.3300 Canadian Dollar
"Canada, 1600 - 2025",2020,1.3400 Canadian Dollar
"Canada, 1600 - 2025",2021,1.2539 Canadian Dollar
"Canada, 1600 - 2025",2022,1.3016 Canadian Dollar
"Canada, 1600 - 2025",2023,1.3499 Canadian Dollar
"Canada, 1600 - 2025",2024,1.3700 Canadian Dollar
,,
"Chile, 1600 - 2025",1917,3.5660 Old Peso
"Chile, 1600 - 2025",1918,3.3786 Old Peso
"Chile, 1600 - 2025",1919,4.4336 Old Peso
"Chile, 1600 - 2025",1920,5.4189 Old Peso
"Chile, 1600 - 2025",1921,8.3269 Old Peso
"Chile, 1600 - 2025",1922,8.1831 Old Peso
"Chile, 1600 - 2025",1923,8.1684 Old Peso
"Chile, 1600 - 2025",1924,9.4833 Old Peso
"Chile, 1600 - 2025",1925,8.6184 Old Peso
"Chile, 1600 - 2025",1926,8.2805 Old Peso
"Chile, 1600 - 2025",1927,8.2883 Old Peso
"Chile, 1600 - 2025",1928,8.2338 Old Peso
"Chile, 1600 - 2025",1929,8.2918 Old Peso
"Chile, 1600 - 2025",1930,8.2792 Old Peso
"Chile, 1600 - 2025",1931,8.2871 Old Peso
"Chile, 1600 - 2025",1932,12.6456 Old Peso
"Chile, 1600 - 2025",1933,13.0230 Old Peso
"Chile, 1600 - 2025",1934,9.8569 Old Peso
"Chile, 1600 - 2025",1935,19.6723 Old Peso
"Chile, 1600 - 2025",1936,19.5160 Old Peso
"Chile, 1600 - 2025",1937,19.3435 Old Peso
"Chile, 1600 - 2025",1938,19.3364 Old Peso
"Chile, 1600 - 2025",1939,19.3323 Old Peso
"Chile, 1600 - 2025",1940,19.3543 Old Peso
"Chile, 1600 - 2025",1941,19.3558 Old Peso
"Chile, 1600 - 2025",1948,32.9990 Old Peso
"Chile, 1600 - 2025",1949,35.9989 Old Peso
"Chile, 1600 - 2025",1950,47.9986 Old Peso
"Chile, 1600 - 2025",1951,55.9984 Old Peso
"Chile, 1600 - 2025",1952,61.9982 Old Peso
"Chile, 1600 - 2025",1953,70.9979 Old Peso
"Chile, 1600 - 2025",1954,91.9973 Old Peso
"Chile, 1600 - 2025",1955,161.9950 Old Peso
"Chile, 1600 - 2025",1956,335.9900 Old Peso
"Chile, 1600 - 2025",1957,521.3180 Old Peso
"Chile, 1600 - 2025",1958,704.6460 Old Peso
"Chile, 1600 - 2025",1959,944.3060 Old Peso
"Chile, 1600 - 2025",1960,1.0490 Escudos
"Chile, 1600 - 2025",1961,1.0501 Escudos
"Chile, 1600 - 2025",1962,1.0576 Escudos
"Chile, 1600 - 2025",1963,1.6218 Escudos
"Chile, 1600 - 2025",1964,2.3074 Escudos
"Chile, 1600 - 2025",1965,3.1567 Escudos
"Chile, 1600 - 2025",1966,3.8511 Escudos
"Chile, 1600 - 2025",1967,5.0683 Escudos
"Chile, 1600 - 2025",1968,6.8765 Escudos
"Chile, 1600 - 2025",1969,8.6176 Escudos
"Chile, 1600 - 2025",1970,11.2775 Escudos
"Chile, 1600 - 2025",1971,12.2086 Escudos
"Chile, 1600 - 2025",1972,20.8352 Escudos
"Chile, 1600 - 2025",1973,71.6419 Escudos
"Chile, 1600 - 2025",1974,592.8260 Escudos
"Chile, 1600 - 2025",1975,4910.4200 Escudos
"Chile, 1600 - 2025",1976,13.0542 Pesos
"Chile, 1600 - 2025",1977,21.5358 Pesos
"Chile, 1600 - 2025",1978,31.6558 Pesos
"Chile, 1600 - 2025",1979,37.2458 Pesos
"Chile, 1600 - 2025",1980,39.0000 Pesos
"Chile, 1600 - 2025",1981,39.0000 Pesos
"Chile, 1600 - 2025",1982,50.9083 Pesos
"Chile, 1600 - 2025",1983,78.7883 Pesos
"Chile, 1600 - 2025",1984,98.4775 Pesos
"Chile, 1600 - 2025",1985,160.8600 Pesos
"Chile, 1600 - 2025",1986,192.9300 Pesos
"Chile, 1600 - 2025",1987,219.4070 Pesos
"Chile, 1600 - 2025",1988,245.0120 Pesos
"Chile, 1600 - 2025",1989,266.9540 Pesos
"Chile, 1600 - 2025",1990,304.9030 Pesos
"Chile, 1600 - 2025",1991,349.2160 Pesos
"Chile, 1600 - 2025",1992,362.5760 Pesos
"Chile, 1600 - 2025",1993,404.1660 Pesos
"Chile, 1600 - 2025",1994,420.1770 Pesos
"Chile, 1600 - 2025",1995,396.7730 Pesos
"Chile, 1600 - 2025",1996,412.2670 Pesos
"Chile, 1600 - 2025",1997,419.2950 Pesos
"Chile, 1600 - 2025",1998,460.2900 Pesos
"Chile, 1600 - 2025",1999,508.7800 Pesos
"Chile, 1600 - 2025",2000,539.5900 Pesos
"Chile, 1600 - 2025",2001,634.9400 Pesos
"Chile, 1600 - 2025",2002,688.9400 Pesos
"Chile, 1600 - 2025",2003,691.4300 Pesos
"Chile, 1600 - 2025",2004,609.3700 Pesos
"Chile, 1600 - 2025",2005,560.0900 Pesos
"Chile, 1600 - 2025",2006,530.2900 Pesos
"Chile, 1600 - 2025",2007,522.5010 Pesos
"Chile, 1600 - 2025",2008,522.4600 Pesos
"Chile, 1600 - 2025",2009,560.8600 Peso
"Chile, 1600 - 2025",2010,510.2490 Peso
"Chile, 1600 - 2025",2011,483.6680 Pesos
"Chile, 1600 - 2025",2012,486.4710 Pesos
"Chile, 1600 - 2025",2013,495.2880 Pesos
"Chile, 1600 - 2025",2014,570.2750 Pesos
"Chile, 1600 - 2025",2015,654.1200 Peso (New People's Currency)
"Chile, 1600 - 2025",2016,676.9580 Peso (New People's Currency)
"Chile, 1600 - 2025",2017,648.8340 Peso (New People's Currency)
"Chile, 1600 - 2025",2018,641.2770 Peso (New People's Currency)
"Chile, 1600 - 2025",2019,702.9000 Peso (New People's Currency)
"Chile, 1600 - 2025",2020,792.7300 Peso (New People's Currency)
"Chile, 1600 - 2025",2021,758.9550 Peso (New People's Currency)
"Chile, 1600 - 2025",2022,873.3140 Peso (New People's Currency)
"Chile, 1600 - 2025",2023,840.0670 Peso (New People's Currency)
"Chile, 1600 - 2025",2024,944.4570 Peso (New People's Currency)
,,
"China, 1600 - 2025",1922,1.7975 Old Yuan
"China, 1600 - 2025",1923,1.9003 Old Yuan
"China, 1600 - 2025",1924,1.8976 Old Yuan
"China, 1600 - 2025",1925,1.7573 Old Yuan
"China, 1600 - 2025",1926,2.0008 Old Yuan
"China, 1600 - 2025",1927,2.2758 Old Yuan
"China, 1600 - 2025",1928,2.1674 Old Yuan
"China, 1600 - 2025",1929,2.3866 Old Yuan
"China, 1600 - 2025",1930,3.3426 Old Yuan
"China, 1600 - 2025",1931,4.4569 Old Yuan
"China, 1600 - 2025",1932,4.6007 Old Yuan
"China, 1600 - 2025",1933,3.4968 New Yuan
"China, 1600 - 2025",1934,2.9331 New Yuan
"China, 1600 - 2025",1935,2.7344 New Yuan
"China, 1600 - 2025",1936,3.3613 New Yuan
"China, 1600 - 2025",1937,3.3777 New Yuan
"China, 1600 - 2025",1938,4.6817 New Yuan
"China, 1600 - 2025",1939,8.4180 New Yuan
"China, 1600 - 2025",1940,16.6672 New Yuan
"China, 1600 - 2025",1941,18.8207 New Yuan
"China, 1600 - 2025",1981,1.7031 (New People's Currency) Yuan
"China, 1600 - 2025",1982,1.8978 (New People's Currency) Yuan
"China, 1600 - 2025",1983,1.9809 (New People's Currency) Yuan
"China, 1600 - 2025",1984,2.3308 (New People's Currency) Yuan
"China, 1600 - 2025",1985,2.9434 (New People's Currency) Yuan
"China, 1600 - 2025",1986,3.4616 (New People's Currency) Yuan
"China, 1600 - 2025",1987,3.7314 (New People's Currency) Yuan
"China, 1600 - 2025",1988,3.7314 (New People's Currency) Yuan
"China, 1600 - 2025",1989,3.7673 (New People's Currency) Yuan
"China, 1600 - 2025",1990,4.7921 (New People's Currency) Yuan
"China, 1600 - 2025",1991,5.3337 (New People's Currency) Yuan
"China, 1600 - 2025",1992,5.5206 (New People's Currency) Yuan
"China, 1600 - 2025",1993,5.7795 (New People's Currency) Yuan
"China, 1600 - 2025",1994,8.6397 (New People's Currency) Yuan
"China, 1600 - 2025",1995,8.3700 (New People's Currency) Yuan
"China, 1600 - 2025",1996,8.3389 (New People's Currency) Yuan
"China, 1600 - 2025",1997,8.3193 (New People's Currency) Yuan
"China, 1600 - 2025",1998,8.3008 (New People's Currency) Yuan
"China, 1600 - 2025",1999,8.2783 (New People's Currency) Yuan
"China, 1600 - 2025",2000,8.2784 (New People's Currency) Yuan
"China, 1600 - 2025",2001,8.2770 (New People's Currency) Yuan
"China, 1600 - 2025",2002,8.2771 (New People's Currency) Yuan
"China, 1600 - 2025",2003,8.2772 (New People's Currency) Yuan
"China, 1600 - 2025",2004,8.2768 (New People's Currency) Yuan
"China, 1600 - 2025",2005,8.1936 (New People's Currency) Yuan
"China, 1600 - 2025",2006,7.9723 (New People's Currency) Yuan
"China, 1600 - 2025",2007,7.6058 (New People's Currency) Yuan
"China, 1600 - 2025",2008,6.9477 (New People's Currency) Yuan
"China, 1600 - 2025",2009,6.8307 (New People's Currency) Yuan
"China, 1600 - 2025",2010,6.7696 (New People's Currency) Yuan
"China, 1600 - 2025",2011,6.4630 (New People's Currency) Yuan
"China, 1600 - 2025",2012,6.3093 (New People's Currency) Yuan
"China, 1600 - 2025",2013,6.1478 (New People's Currency) Yuan
"China, 1600 - 2025",2014,6.1620 (New People's Currency) Yuan
"China, 1600 - 2025",2015,6.2827 (New People's Currency) Yuan
"China, 1600 - 2025",2016,6.6445 (New People's Currency) Yuan
"China, 1600 - 2025",2017,6.7588 (New People's Currency) Yuan
"China, 1600 - 2025",2018,6.6160 (New People's Currency) Yuan
"China, 1600 - 2025",2019,6.9100 (New People's Currency) Yuan
"China, 1600 - 2025",2020,6.9000 (New People's Currency) Yuan
"China, 1600 - 2025",2021,6.4490 (New People's Currency) Yuan
"China, 1600 - 2025",2022,6.7372 (New People's Currency) Yuan
"China, 1600 - 2025",2023,7.0840 (New People's Currency) Yuan
"China, 1600 - 2025",2024,7.2003 (New People's Currency) Yuan
,,
"Colombia, 1600 - 2025",1926,1.0157 Peso
"Colombia, 1600 - 2025",1927,1.0237 Peso
"Colombia, 1600 - 2025",1928,1.0236 Peso
"Colombia, 1600 - 2025",1929,1.0357 Peso
"Colombia, 1600 - 2025",1930,1.0363 Peso
"Colombia, 1600 - 2025",1931,1.0355 Peso
"Colombia, 1600 - 2025",1932,1.0496 Peso
"Colombia, 1600 - 2025",1933,1.2240 Peso
"Colombia, 1600 - 2025",1934,1.6186 Peso
"Colombia, 1600 - 2025",1935,1.7854 Peso
"Colombia, 1600 - 2025",1936,1.7518 Peso
"Colombia, 1600 - 2025",1937,1.7629 Peso
"Colombia, 1600 - 2025",1938,1.7872 Peso
"Colombia, 1600 - 2025",1939,1.7525 Peso
"Colombia, 1600 - 2025",1940,1.7518 Peso
"Colombia, 1600 - 2025",1941,1.7543 Peso
"Colombia, 1600 - 2025",1948,1.7600 Peso
"Colombia, 1600 - 2025",1949,1.9600 Peso
"Colombia, 1600 - 2025",1950,1.9600 Peso
"Colombia, 1600 - 2025",1951,2.4000 Peso
"Colombia, 1600 - 2025",1952,2.5100 Peso
"Colombia, 1600 - 2025",1953,2.5100 Peso
"Colombia, 1600 - 2025",1954,2.5100 Peso
"Colombia, 1600 - 2025",1955,2.5100 Peso
"Colombia, 1600 - 2025",1956,2.5100 Peso
"Colombia, 1600 - 2025",1957,3.7975 Peso
"Colombia, 1600 - 2025",1958,6.4000 Peso
"Colombia, 1600 - 2025",1959,6.4000 Peso
"Colombia, 1600 - 2025",1960,6.6350 Peso
"Colombia, 1600 - 2025",1961,6.7000 Peso
"Colombia, 1600 - 2025",1962,6.9012 Peso
"Colombia, 1600 - 2025",1963,9.0000 Peso
"Colombia, 1600 - 2025",1964,9.0000 Peso
"Colombia, 1600 - 2025",1965,10.4750 Peso
"Colombia, 1600 - 2025",1966,13.5000 Peso
"Colombia, 1600 - 2025",1967,14.5064 Peso
"Colombia, 1600 - 2025",1968,16.2907 Peso
"Colombia, 1600 - 2025",1969,17.3201 Peso
"Colombia, 1600 - 2025",1970,18.4431 Peso
"Colombia, 1600 - 2025",1971,19.9319 Peso
"Colombia, 1600 - 2025",1972,21.8656 Peso
"Colombia, 1600 - 2025",1973,23.6370 Peso
"Colombia, 1600 - 2025",1974,26.0641 Peso
"Colombia, 1600 - 2025",1975,30.9289 Peso
"Colombia, 1600 - 2025",1976,34.6939 Peso
"Colombia, 1600 - 2025",1977,36.7749 Peso
"Colombia, 1600 - 2025",1978,39.0946 Peso
"Colombia, 1600 - 2025",1979,42.5498 Peso
"Colombia, 1600 - 2025",1980,47.2803 Peso
"Colombia, 1600 - 2025",1981,54.4906 Peso
"Colombia, 1600 - 2025",1982,64.0847 Peso
"Colombia, 1600 - 2025",1983,78.8543 Peso
"Colombia, 1600 - 2025",1984,100.8170 Peso
"Colombia, 1600 - 2025",1985,142.3120 Peso
"Colombia, 1600 - 2025",1986,194.2610 Peso
"Colombia, 1600 - 2025",1987,242.6070 Peso
"Colombia, 1600 - 2025",1988,299.1740 Peso
"Colombia, 1600 - 2025",1989,382.5680 Peso
"Colombia, 1600 - 2025",1990,502.2590 Peso
"Colombia, 1600 - 2025",1991,633.0450 Peso
"Colombia, 1600 - 2025",1992,759.2820 Peso
"Colombia, 1600 - 2025",1993,863.0650 Peso
"Colombia, 1600 - 2025",1994,844.8360 Peso
"Colombia, 1600 - 2025",1995,912.8260 Peso
"Colombia, 1600 - 2025",1996,1036.6900 Peso
"Colombia, 1600 - 2025",1997,1140.9600 Peso
"Colombia, 1600 - 2025",1998,1426.0400 Peso
"Colombia, 1600 - 2025",1999,1756.2300 Peso
"Colombia, 1600 - 2025",2000,2087.9000 Peso
"Colombia, 1600 - 2025",2001,2299.6300 Peso
"Colombia, 1600 - 2025",2002,2504.2400 Peso
"Colombia, 1600 - 2025",2003,2877.6500 Peso
"Colombia, 1600 - 2025",2004,2628.6100 Peso
"Colombia, 1600 - 2025",2005,2320.8300 Peso
"Colombia, 1600 - 2025",2006,2361.1400 Peso
"Colombia, 1600 - 2025",2007,2078.2900 Peso
"Colombia, 1600 - 2025",2008,1967.7100 Peso
"Colombia, 1600 - 2025",2009,2158.3000 Peso
"Colombia, 1600 - 2025",2011,1848.1400 Peso
"Colombia, 1600 - 2025",2012,1796.9000 Peso
"Colombia, 1600 - 2025",2013,1868.7900 Peso
"Colombia, 1600 - 2025",2014,2001.7800 Peso
"Colombia, 1600 - 2025",2015,2741.8800 Peso
"Colombia, 1600 - 2025",2016,3054.1200 Peso
"Colombia, 1600 - 2025",2017,2.0000 Peso
"Colombia, 1600 - 2025",2018,2955.7000 Peso
"Colombia, 1600 - 2025",2019,3280.8300 Peso
"Colombia, 1600 - 2025",2020,3694.8500 Peso
"Colombia, 1600 - 2025",2021,3743.5900 Peso
"Colombia, 1600 - 2025",2022,4256.1900 Peso
"Colombia, 1600 - 2025",2023,4325.9600 Peso
"Colombia, 1600 - 2025",2024,4076.4900 Peso
,,
"Denmark, 1600 - 2025",1913,3.7377 Krones
"Denmark, 1600 - 2025",1914,3.7558 Krones
"Denmark, 1600 - 2025",1915,3.8765 Krones
"Denmark, 1600 - 2025",1916,3.5315 Krones
"Denmark, 1600 - 2025",1917,3.3294 Krones
"Denmark, 1600 - 2025",1918,3.3065 Krones
"Denmark, 1600 - 2025",1919,4.2946 Krones
"Denmark, 1600 - 2025",1920,6.3391 Krones
"Denmark, 1600 - 2025",1921,5.6192 Krones
"Denmark, 1600 - 2025",1922,4.7740 Krones
"Denmark, 1600 - 2025",1923,5.4454 Krones
"Denmark, 1600 - 2025",1924,5.9799 Krones
"Denmark, 1600 - 2025",1925,4.7324 Krones
"Denmark, 1600 - 2025",1926,3.8131 Krones
"Denmark, 1600 - 2025",1927,3.7418 Krones
"Denmark, 1600 - 2025",1928,3.7393 Krones
"Denmark, 1600 - 2025",1929,3.7481 Krones
"Denmark, 1600 - 2025",1930,3.7362 Krones
"Denmark, 1600 - 2025",1931,3.9907 Krones
"Denmark, 1600 - 2025",1932,5.3102 Krones
"Denmark, 1600 - 2025",1933,5.2436 Krones
"Denmark, 1600 - 2025",1934,4.4445 Krones
"Denmark, 1600 - 2025",1935,4.5697 Krones
"Denmark, 1600 - 2025",1936,4.5067 Krones
"Denmark, 1600 - 2025",1937,4.5312 Krones
"Denmark, 1600 - 2025",1938,4.5820 Krones
"Denmark, 1600 - 2025",1939,4.9149 Krones
"Denmark, 1600 - 2025",1940,5.1791 Krones
"Denmark, 1600 - 2025",1946,4.7902 Krones
"Denmark, 1600 - 2025",1947,4.7930 Krones
"Denmark, 1600 - 2025",1948,4.7945 Krones
"Denmark, 1600 - 2025",1949,5.2310 Krones
"Denmark, 1600 - 2025",1950,6.8995 Krones
"Denmark, 1600 - 2025",1951,6.9008 Krones
"Denmark, 1600 - 2025",1952,6.9005 Krones
"Denmark, 1600 - 2025",1953,6.8995 Krones
"Denmark, 1600 - 2025",1954,6.9042 Krones
"Denmark, 1600 - 2025",1955,6.9050 Krones
"Denmark, 1600 - 2025",1956,6.9050 Krones
"Denmark, 1600 - 2025",1957,6.9050 Krones
"Denmark, 1600 - 2025",1958,6.9050 Krones
"Denmark, 1600 - 2025",1959,6.8927 Krones
"Denmark, 1600 - 2025",1960,6.8941 Krones
"Denmark, 1600 - 2025",1961,6.9051 Krones
"Denmark, 1600 - 2025",1962,6.9013 Krones
"Denmark, 1600 - 2025",1963,6.9042 Krones
"Denmark, 1600 - 2025",1964,6.9156 Krones
"Denmark, 1600 - 2025",1965,6.9156 Krones
"Denmark, 1600 - 2025",1966,6.9085 Krones
"Denmark, 1600 - 2025",1967,6.9808 Krones
"Denmark, 1600 - 2025",1968,7.4839 Krones
"Denmark, 1600 - 2025",1969,7.5194 Krones
"Denmark, 1600 - 2025",1970,7.4996 Krones
"Denmark, 1600 - 2025",1971,7.4030 Krones
"Denmark, 1600 - 2025",1972,6.9522 Krones
"Denmark, 1600 - 2025",1973,6.0230 Krones
"Denmark, 1600 - 2025",1974,6.0820 Krones
"Denmark, 1600 - 2025",1975,5.7349 Krones
"Denmark, 1600 - 2025",1976,6.0438 Krones
"Denmark, 1600 - 2025",1977,6.0031 Krones
"Denmark, 1600 - 2025",1978,5.5078 Krones
"Denmark, 1600 - 2025",1979,5.2622 Krones
"Denmark, 1600 - 2025",1980,5.6345 Krones
"Denmark, 1600 - 2025",1981,7.1350 Krones
"Denmark, 1600 - 2025",1982,8.3443 Krones
"Denmark, 1600 - 2025",1983,9.1483 Krones
"Denmark, 1600 - 2025",1984,10.3540 Krones
"Denmark, 1600 - 2025",1985,10.5980 Krones
"Denmark, 1600 - 2025",1986,8.0955 Krones
"Denmark, 1600 - 2025",1987,6.8478 Krones
"Denmark, 1600 - 2025",1988,6.7412 Krones
"Denmark, 1600 - 2025",1989,7.3210 Krones
"Denmark, 1600 - 2025",1990,6.1899 Krones
"Denmark, 1600 - 2025",1991,6.4038 Krones
"Denmark, 1600 - 2025",1992,6.0372 Krones
"Denmark, 1600 - 2025",1993,6.4863 Krones
"Denmark, 1600 - 2025",1994,6.3561 Krones
"Denmark, 1600 - 2025",1995,5.5999 Krones
"Denmark, 1600 - 2025",1996,5.8003 Krones
"Denmark, 1600 - 2025",1997,6.6092 Krones
"Denmark, 1600 - 2025",1998,6.7030 Krones
"Denmark, 1600 - 2025",1999,6.9900 Krones
"Denmark, 1600 - 2025",2000,8.0953 Krones
"Denmark, 1600 - 2025",2001,8.3323 Krones
"Denmark, 1600 - 2025",2002,7.8862 Krones
"Denmark, 1600 - 2025",2003,6.5774 Krones
"Denmark, 1600 - 2025",2004,5.9891 Krones
"Denmark, 1600 - 2025",2005,5.9953 Krones
"Denmark, 1600 - 2025",2006,5.9422 Krones
"Denmark, 1600 - 2025",2007,5.4413 Krones
"Denmark, 1600 - 2025",2008,5.0885 Krones
"Denmark, 1600 - 2025",2009,5.3574 Krones
"Denmark, 1600 - 2025",2010,5.6266 Krones
"Denmark, 1600 - 2025",2011,5.3540 Krones
"Denmark, 1600 - 2025",2012,5.7922 Krones
"Denmark, 1600 - 2025",2013,5.6170 Krones
"Denmark, 1600 - 2025",2014,5.6151 Krones
"Denmark, 1600 - 2025",2015,6.7263 Krone
"Denmark, 1600 - 2025",2016,6.7317 Krone
"Denmark, 1600 - 2025",2017,6.6029 Krone
"Denmark, 1600 - 2025",2018,6.3146 Krone
"Denmark, 1600 - 2025",2019,6.6700 Krone
"Denmark, 1600 - 2025",2020,6.5400 Krone
"Denmark, 1600 - 2025",2021,6.2871 Krone
"Denmark, 1600 - 2025",2022,7.1448 Krone
"Denmark, 1600 - 2025",2023,6.8892 Krone
"Denmark, 1600 - 2025",2024,6.8953 Krone
,,
"Europe, 1600 - 2025",1999,0.9387 Euro
"Europe, 1600 - 2025",2000,1.0832 Euro
"Europe, 1600 - 2025",2001,1.1171 Euro
"Europe, 1600 - 2025",2002,1.0578 Euro
"Europe, 1600 - 2025",2003,0.8833 Euro
"Europe, 1600 - 2025",2004,0.8040 Euro
"Europe, 1600 - 2025",2005,0.8033 Euro
"Europe, 1600 - 2025",2006,0.7960 Euro
"Europe, 1600 - 2025",2007,0.7293 Euro
"Europe, 1600 - 2025",2008,0.6791 Euro
"Europe, 1600 - 2025",2009,0.7176 Euro
"Europe, 1600 - 2025",2010,0.7178 Euro
"Europe, 1600 - 2025",2011,0.7178 Euro
"Europe, 1600 - 2025",2012,0.7776 Euro
"Europe, 1600 - 2025",2013,0.7529 Euro
"Europe, 1600 - 2025",2014,0.7520 Euro
"Europe, 1600 - 2025",2015,0.9009 Euro
"Europe, 1600 - 2025",2016,0.9039 Euro
"Europe, 1600 - 2025",2017,0.8870 Euro
"Europe, 1600 - 2025",2018,0.8468 Euro
"Europe, 1600 - 2025",2019,0.8900 Euro
"Europe, 1600 - 2025",2020,0.8800 Euro
"Europe, 1600 - 2025",2021,0.8800 Euro
"Europe, 1600 - 2025",2022,0.9509 Euro
"Europe, 1600 - 2025",2023,0.9248 Euro
"Europe, 1600 - 2025",2024,0.9246 Euro
,,
"Finland, 1600 - 2025",1921,60.3865 Old Markkaa
"Finland, 1600 - 2025",1922,46.2235 Old Markkaa
"Finland, 1600 - 2025",1923,37.2703 Old Markkaa
"Finland, 1600 - 2025",1924,39.8788 Old Markkaa
"Finland, 1600 - 2025",1925,39.6542 Old Markkaa
"Finland, 1600 - 2025",1926,39.6684 Old Markkaa
"Finland, 1600 - 2025",1927,39.6873 Old Markkaa
"Finland, 1600 - 2025",1928,39.7251 Old Markkaa
"Finland, 1600 - 2025",1929,39.7456 Old Markkaa
"Finland, 1600 - 2025",1930,39.7314 Old Markkaa
"Finland, 1600 - 2025",1931,41.8848 Old Markkaa
"Finland, 1600 - 2025",1932,64.3211 Old Markkaa
"Finland, 1600 - 2025",1933,53.4531 Old Markkaa
"Finland, 1600 - 2025",1934,44.8893 Old Markkaa
"Finland, 1600 - 2025",1935,46.2385 Old Markkaa
